SOURCE_IP|DATE|METHOD_TYPE|URL|HTTP_CLIENT_TYPE|RESPOSNE_CODE|CONTENT_LENGHT|CLIENT_TYPE|PROCESSING_NODE|REQUEST_TIME_TAKEN|UPSTREAM_CONN_TIME|UPSTREAM_RESP_TIME|MODULE|FILE_NAME
------|------|------|------|------|------|------|------|------|------|------|------|------|------
192.168.1.1|30/Nov/2018:03:35:54|GET|/client|HTTP/1.1|200|33|"Java/1.6.0_45"|192.168.2.5:28080|0.229|0|0.229|module4|access.log-20181201.gz
192.168.1.1|30/Nov/2018:03:35:55|GET|/client|HTTP/1.1|200|64|"Java/1.6.0_45"|192.168.2.4:28080|0.004|0|0.004|module25|access.log-20181201.gz
192.168.1.2|30/Nov/2018:03:35:56|GET|/client|HTTP/1.1|200|106|"Java/1.6.0_45"|192.168.2.5:28081|0.088|0|0.088|module19|access.log-20181201.gz
192.168.1.2|30/Nov/2018:03:35:56|GET|/client|HTTP/1.1|200|161|"Java/1.6.0_45"|192.168.2.3:28080|0.998|0.001|0.998|module13|access.log-20181201.gz
192.168.1.1|30/Nov/2018:03:35:56|GET|/client|HTTP/1.1|200|59|"Java/1.6.0_45"|192.168.2.4:28081|0.025|0|0.025|module5|access.log-20181201.gz
192.168.1.5|30/Nov/2018:03:35:56|POST|/client|HTTP/1.1|200|33|"-"|192.168.2.6:9060|0.002|0.001|0.002|module26|access.log-20181201.gz
192.168.1.1|30/Nov/2018:03:35:56|GET|/client|HTTP/1.1|200|161|"Java/1.6.0_45"|192.168.2.1:28080|0.583|0.001|0.583|module13|access.log-20181201.gz
192.168.1.2|30/Nov/2018:03:35:58|GET|/client|HTTP/1.1|200|160|"Java/1.6.0_45"|192.168.2.5:28080|0.994|0|0.994|module13|access.log-20181201.gz
192.168.1.1|30/Nov/2018:03:35:58|GET|/client|HTTP/1.1|200|84|"Java/1.6.0_45"|192.168.2.3:28080|1.096|0|1.096|module20|access.log-20181201.gz
192.168.1.1|30/Nov/2018:03:35:58|GET|/client|HTTP/1.1|200|161|"Java/1.6.0_45"|192.168.2.3:28080|0.532|0.001|0.532|module13|access.log-20181201.gz
